source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.1948028802871704,ens_E3_001,1,monthly,1991-2020,0.8301257491111755,0.3646771311759949
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.5477931499481201,ens_E3_001,2,monthly,1991-2020,1.003076434135437,0.5447167158126831
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.0105578899383545,ens_E3_001,3,monthly,1991-2020,1.4406483173370361,0.5699095726013184
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.442840099334717,ens_E3_001,4,monthly,1991-2020,1.9514625072479248,0.491377592086792
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.6835570335388184,ens_E3_001,5,monthly,1991-2020,2.1371307373046875,0.5464262962341309
CFS,CFSv2,dynamical,2026-04-27,2026-10,2.8339598178863525,ens_E3_001,6,monthly,1991-2020,2.3814637660980225,0.4524960517883301
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.300232172012329,ens_E3_001,7,monthly,1991-2020,2.84631085395813,0.4539213180541992
CFS,CFSv2,dynamical,2026-04-27,2026-12,2.98397159576416,ens_E3_001,8,monthly,1991-2020,2.366067409515381,0.6179041862487793
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.4526331424713135,ens_E3_001,9,monthly,1991-2020,1.8293999433517456,0.6232331991195679
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.154219627380371,ens_E3_002,1,monthly,1991-2020,0.792143702507019,0.36207592487335205
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.5903116464614868,ens_E3_002,2,monthly,1991-2020,1.1955251693725586,0.3947864770889282
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.080486536026001,ens_E3_002,3,monthly,1991-2020,1.661891222000122,0.4185953140258789
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.659064769744873,ens_E3_002,4,monthly,1991-2020,2.199491500854492,0.45957326889038086
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.888744831085205,ens_E3_002,5,monthly,1991-2020,2.4392356872558594,0.4495091438293457
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.0198090076446533,ens_E3_002,6,monthly,1991-2020,2.558610439300537,0.4611985683441162
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.507422685623169,ens_E3_002,7,monthly,1991-2020,3.038262367248535,0.4691603183746338
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.192774772644043,ens_E3_002,8,monthly,1991-2020,2.623126268386841,0.5696485042572021
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.7358789443969727,ens_E3_002,9,monthly,1991-2020,2.0277884006500244,0.7080905437469482
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.0057604312896729,ens_E3_003,1,monthly,1991-2020,0.6277121901512146,0.37804824113845825
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.4128499031066895,ens_E3_003,2,monthly,1991-2020,0.9313596487045288,0.48149025440216064
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.6475344896316528,ens_E3_003,3,monthly,1991-2020,1.1860055923461914,0.4615288972854614
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.245790958404541,ens_E3_003,4,monthly,1991-2020,1.7853840589523315,0.4604068994522095
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.4304263591766357,ens_E3_003,5,monthly,1991-2020,1.8562617301940918,0.574164628982544
CFS,CFSv2,dynamical,2026-04-27,2026-10,2.7699904441833496,ens_E3_003,6,monthly,1991-2020,2.1959428787231445,0.5740475654602051
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.346446990966797,ens_E3_003,7,monthly,1991-2020,2.7542061805725098,0.5922408103942871
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.1322104930877686,ens_E3_003,8,monthly,1991-2020,2.493983745574951,0.6382267475128174
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.4843366146087646,ens_E3_003,9,monthly,1991-2020,1.7569845914840698,0.7273520231246948
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.093828558921814,ens_E3_004,1,monthly,1991-2020,0.718934953212738,0.3748936057090759
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.6042550802230835,ens_E3_004,2,monthly,1991-2020,1.0963720083236694,0.5078830718994141
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.0189220905303955,ens_E3_004,3,monthly,1991-2020,1.515018105506897,0.5039039850234985
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.341585159301758,ens_E3_004,4,monthly,1991-2020,1.7678061723709106,0.5737789869308472
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.5970330238342285,ens_E3_004,5,monthly,1991-2020,2.048783779144287,0.5482492446899414
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.0408267974853516,ens_E3_004,6,monthly,1991-2020,2.5949161052703857,0.4459106922149658
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.489624261856079,ens_E3_004,7,monthly,1991-2020,3.16028094291687,0.329343318939209
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.0193755626678467,ens_E3_004,8,monthly,1991-2020,2.684828758239746,0.3345468044281006
CFS,CFSv2,dynamical,2026-04-27,2027-01,3.058940887451172,ens_E3_004,9,monthly,1991-2020,2.6038174629211426,0.4551234245300293
CFS,CFSv2,dynamical,2026-04-27,2026-05,0.9898664355278015,ens_E3_005,1,monthly,1991-2020,0.6289263963699341,0.36094003915786743
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.3660125732421875,ens_E3_005,2,monthly,1991-2020,0.9221379160881042,0.44387465715408325
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.0123136043548584,ens_E3_005,3,monthly,1991-2020,1.5941163301467896,0.41819727420806885
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.454840660095215,ens_E3_005,4,monthly,1991-2020,1.9885343313217163,0.46630632877349854
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.9146885871887207,ens_E3_005,5,monthly,1991-2020,2.4992966651916504,0.4153919219970703
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.399430274963379,ens_E3_005,6,monthly,1991-2020,3.030641555786133,0.3687887191772461
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.9427902698516846,ens_E3_005,7,monthly,1991-2020,3.4154140949249268,0.5273761749267578
